id,original,japanese
0,Nudists are people who wear one-button suits.,ヌーディストとは、一つボタンのスーツを着る人々のことである。
1,but that's because it's the best book on anything for the layman.,しかし、それは素人にとってあらゆる物事に関する最高の本だからだ。
2,"If Murphy's Law can go wrong, it will.","マーフィーの法則が間違っている可能性があるなら、それは間違っているだろう。"
3,Old programmers never die. They just branch to a new address.,老いたプログラマーは死なず。ただ新しいアドレスに分岐するのみ。
4,Help a swallow land at Capistrano.,ツバメがカピストラーノに着陸するのを手伝おう。
5,Good day to let down old friends who need help.,助けを必要としている旧友をがっかりさせるには良い日だ。
6,"Among economists, the real world is often a special case.","経済学者の間では、現実世界はしばしば特殊なケースである。"
7,-- Herbert Prochnow,-- ハーバート・プロクナウ
8,"The Pig, if I am not mistaken,",豚は、もし私が間違っていなければ
9,responsibility at the other.,もう一方には責任が。
10,A: Three. One to screw in the lightbulb and two to fend off all those,A: 3人。1人が電球をねじ込み、2人がそれを邪魔する者たちを追い払う。
11,SQL Symphony Concert,SQL交響楽団コンサート
12,Minnie Mouse is a slow maze learner.,ミニーマウスは迷路を覚えるのが遅い。
13,"""You'll never be the man your mother was!""","「お前は母親のような男には決してなれない！」"
14,-- Lewis Carroll,-- ルイス・キャロル
15,the continuing viability of Fortran.,Fortranが存続し続ける可能性。
16,Egotism is the anesthetic given by a kindly nature to relieve the pain,自己中心主義とは、親切な自然が痛みを和らげるために与える麻酔である。
17,"POP UP, PUSH DOWN, BYTE, BYTE, BYTE!",ポップアップ、プッシュダウン、バイト、バイト、バイト！
18,"And everywhere this language went,",そしてこの言語が行くところどこでも
19,-- Macy's,-- メイシーズ
20,Screw up your courage! You've screwed up everything else.,勇気を奮い起こせ！他のものは全部台無しにしたんだから。
21,A professor is one who talks in someone else's sleep.,教授とは、誰かの睡眠中に話す人のことである。
22,"Ingrate: A man who bites the hand that feeds him, and then complains of","恩知らず：餌を与えてくれた手を噛み、そして文句を言う男。"
23,Don't cook tonight -- starve a rat today!,今夜は料理するな――今日ネズミを餓死させろ！
24,meant to be discarded: That the whole point is to always see it as a,捨てられる運命にある：重要なのは、常にそれを
25,Experience is that marvelous thing that enables you recognize a,経験とは、あなたが認識することを可能にする素晴らしいものである。
26,Just because your doctor has a name for your condition doesn't mean he,医者があなたの症状に名前を付けたからといって、彼が
27,"Diplomacy is the art of saying ""nice doggy"" until you can find a rock.","外交とは、石を見つけるまで「いい子だね、ワンちゃん」と言い続ける技術である。"
28,USER n.: A programmer who will believe anything you tell him.,ユーザー（名詞）：あなたが言ったことを何でも信じるプログラマー。
29,-- Charlie McCarthy,-- チャーリー・マッカーシー
30,asked the father of his little son.,父親は幼い息子に尋ねた。
31,"FLASH! Intelligence of mankind decreasing. Details at ... uh, when","速報！人類の知能が低下中。詳細は…ええと、いつだったか"
32,Dealing with failure is easy: Work hard to improve. Success is also,失敗への対処は簡単だ。改善するために努力する。成功もまた
33,Real Programmers don't document. Documentation is for simps who can't read the,本物のプログラマーは文書化しない。ドキュメントは、
34,Gives us ham and pork and Bacon.,我々にハムと豚肉とベーコンを与えてくれる。
35,other.,もう一方。
36,"if it were so, it would be; but as it isn't, it ain't. That's logic!""","もしそうなら、そうなるだろう。しかし、そうではないから、そうではない。それが論理だ！"
37,out of a divorce.,離婚から抜け出す。
38,Avoid reality at all costs.,何としても現実を避けよ。
39,Only adults have difficulty with childproof caps.,チャイルドプルーフキャップに苦労するのは大人だけだ。
40,"If you think last Tuesday was a drag, wait till you see what happens","先週の火曜日がつまらなかったと思うなら、何が起こるか待ってみなさい。"
41,ends.,終わる。
42,"Now, GC, for the nonce,",さて、GCよ、当面は
43,An unbreakable toy is useful for breaking other toys.,壊れないおもちゃは、他のおもちゃを壊すのに役立つ。
44,Good day for a change of scene. Repaper the bedroom wall.,気分転換には良い日。寝室の壁紙を張り替えよう。
45,Green light in A.M. for new projects. Red light in P.M. for traffic,午前中は新しいプロジェクトに青信号。午後は交通に赤信号。
46,Modern man is the missing link between apes and human beings.,現代人とは、類人猿と人間との間の失われた環（ミッシング・リンク）である。
