person_id,証言内容
28508,「否定する！」と三月ウサギは言った。
63713,"
"
86208,方法で、そして一行全員が岸まで泳ぎました。
35267,「ここに授業を？だって、あなたでさえほとんど場所がないのに、全く場所がないじゃない」
33856,"
"
82799,"
"
66493,また怒らせてしまうだろう。
46263,「そうだった、そうだった」とグリフォンもため息をつき、
54263,"とうとう終わってとても嬉しかった。「そして、あの奇妙な歌がとても好きだわ"""
62764,終わりにきたら、そこでやめなさい。」
54206,"
"
63126,片膝をつきました。「陛下、私は貧しい男です」と彼は始めました。
34615,"
"
10007,第4章 ウサギが小さなビルを送り込む
96520,あなた。――さあ、
33355,どこにも見当たらなかった。下を見ると、彼女に見えたのは
41899,「何でもお好きなものを」と従卒は言って、口笛を吹き始めました。
84695,そして森から少し出て聞き耳を立てた。
36487,"
"
96956,"
"
13759,「そんなに欲しくはなかったでしょう」とアリスは言いました。「海の底に住んでいて
74158,「私は息子に厳しく言います、
21408,デイジーを摘んでいると、突然ピンクの目をした白ウサギが走ってきた。
57234,「チェシャ猫さん」と彼女は、それが気に入るかどうか
61749,つっけんどんに。「カキの我慢も限界だ！」
98581,"「小さなワニはいかにして"""
17543,知ってる。
22036,最初に棍棒を持った10人の兵士が来た。彼らは皆、
18970,"「小さなワニはいかにして"""
76489,彼女はできるだけ早くそれらを拾い始めた。なぜなら、
95548,"
"
56181,「少しも」とイモムシは言いました。
23260,代用ウミガメは続けた。
85594,「それなら、言いたいことを言うべきだ」と三月ウサギは続けました。
69003,「私も昼間学校に通っていたわ」とアリスは言った。「そんなに自慢する必要はないわ
78804,りんごを探しにでございます、旦那様！」
51605,もちろんよ。でも、もうお茶の時間だから、急いで。遅くなるわ」それで
54518,"
"
73127,斬首され、くだらないことを話してはいけないと。
17957,"
"
51790,目と口をとても大きく開けていましたが、彼女は進むにつれて勇気を
73646,まず、それは一種の円形のレースコースを描いた。「正確な
90080,第3章 コーカス・レースと長いお話
33793,森へ…（彼女は彼が制服を着ていたので従卒だと考えた）。
82421,考えられないわ！そして、ああ、鳥を追いかける彼女を見せてあげたいわ！なぜって、
10914,陪審員たちがショックから少し立ち直るとすぐに
34086,"
"
34757,本当のメアリー・アンだと思われて、小さな
11059,"
"
34722,再び、木の枝に座っていました。
53269,この質問にはドードーはよく考えないと答えられませんでした、
56580,"
"
89123,"「だって、そもそも自分でも理解できないし、それにたくさんいるから"""
50176,"
"
48656,「危ないところだったわ！」とアリスは、
64769,話しながら心配そうに肩越しに振り返り、それから
11161,あまりに困惑した表情だったので、彼女は思わず吹き出してしまった。
49234,もうここにはいたくないわ！
50931,「我々だって！」とネズミは叫んだ。彼は尻尾の先まで震えていた。
34473,"
"
16858,アリスは何も言わなかった。彼女は人生でこれほど反論されたことはなかった。
11470,と思った。しかし、それは非常に長い爪とたくさんの歯を持っていたので、彼女は
71632,"
"
73315,「最初にやるべきことは」とアリスは、さまよいながら独り言を言った。
93531,私を馬鹿だと思っているのか？続けろ！
41334,踊りに参加しない、できない、しない、できない、できない。
20640,あなたのことを自分で。あなたは自分で何とかしなければならない。でも私は
28217,そうして彼女は再び子供をあやし始め、一種の子守唄を
33944,"
"
88952,うつ伏せになった。たくさんの足音がした。
68352,とても小さい！それに、あの子はあの子で、私は私で――ああ、なんてややこしい
84318,時）。「あなたたちなんて、ただのトランプの束よ！」
30771,"
"
82643,"
"
68787,"
"
67501,彼ら自身を。」
69482,「それなら一番になるべきだわ」とアリスは言った。
47740,あまりにあわててて、あなたに話せないんです――わかってるのは、何かがこっちにやってきて
49342,"
"
97362,"
"
18108,"‘ARE you to get in at all?’ said the Footman. ‘That’s the first
"
44776,王は眼鏡をかけて、誰が
11062,"
"
99106,"「聞いていない！」とネズミはアリスに厳しく言った。「何を"""
93928,"
"
56334,部屋を出ようとしたとき、ふと小さな
76797,同じような絵？
62806,"
"
91893,空中のネズミは無理だろうけど、コウモリなら捕まえられるかもしれない。それはとても
36669,「よいお天気でございますね、陛下！」と公爵夫人は低く、か細い声で始めました。
27485,"
"
85272,トカゲを逆さまにして、その可哀想な小さな生き物は
68219,"彼女が話すとき。（不運な小さなビルは、"""
68458,「僕の場合も全く同じだ」と帽子屋は言いました。
96266,"
"
78795,きちんとした小さな家に出くわしました。そのドアにはピカピカの真鍮の
35311,なぜって、何度も何度もやるんですから」
52297,あなた。――さあ、
60886,それから、クラゲを全部どかしたら…」
41914,それが静かに森の中へ小走りで去っていく。「もし大きくなっていたら」と彼女は言った。
22369,考えているの？
25814,「まず第一に」と猫は言いました、「犬は狂っていない。それは認めるだろ？」
95491,「パン切りナイフで入れるべきじゃなかったな。」
36563,"「聞いていない！」とネズミはアリスに厳しく言った。「何を"""
89343,彼らは、事故の歴史を書き出すために、非常に熱心に働き始めた。
14532,"
"
67045,"
"
97245,海、何人かの子供たちが木のシャベルで砂を掘っていた。それから
83673,「そう、彼の仕事だ！」と五は言った。「そして彼に言うよ…それは
55804,",まっすぐに通じていました。「とても奇妙だわ！」と彼女は思いました。「でも、"""
84819,ああ！そう願うには遅すぎた！彼女はどんどん大きくなり続けた。
39426,"
"
