id,person_id,original,japanese
0,28508,"‘I deny it!’ said the March Hare.
",
1,63713,"
",
2,86208,"way, and the whole party swam to the shore.
",
3,35267,"lessons in here? Why, there’s hardly room for YOU, and no room at all
",
4,33856,"
",
5,82799,"
",
6,66493,"would be offended again.
",
7,46263,"‘So he did, so he did,’ said the Gryphon, sighing in his turn; and both
",
8,54263,"very glad that it was over at last: ‘and I do so like that curious song
",
9,62764,"come to the end: then stop.’
",
10,54206,"
",
11,63126,"down on one knee. ‘I’m a poor man, your Majesty,’ he began.
",
12,34615,"
",
13,10007,"CHAPTER IV. The Rabbit Sends in a Little Bill
",
14,96520,"         YOU.--Come,
",
15,33355,"were nowhere to be found: all she could see, when she looked down, was
",
16,41899,"‘Anything you like,’ said the Footman, and began whistling.
",
17,84695,"and crept a little way out of the wood to listen.
",
18,36487,"
",
19,96956,"
",
20,13759,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
",
21,74158,"   ‘I speak severely to my boy,
",
22,21408,"picking the daisies, when suddenly a White Rabbit with pink eyes ran
",
23,57234,"‘Cheshire Puss,’ she began, rather timidly, as she did not at all know
",
24,61749,"snappishly. ‘You’re enough to try the patience of an oyster!’
",
25,98581,"     ‘How doth the little crocodile
",
26,17543,"know.’
",
27,22036,"First came ten soldiers carrying clubs; these were all shaped like
",
28,18970,"     ‘How doth the little crocodile
",
29,76489,"began picking them up again as quickly as she could, for the accident of
",
30,95548,"
",
31,56181,"‘Not a bit,’ said the Caterpillar.
",
32,23260,"The Mock Turtle went on.
",
33,85594,"‘Then you should say what you mean,’ the March Hare went on.
",
34,69003,"‘I’VE been to a day-school, too,’ said Alice; ‘you needn’t be so proud
",
35,78804,"for apples, yer honour!’
",
36,51605,"dear, certainly: but now run in to your tea; it’s getting late.’ So
",
37,54518,"
",
38,73127,"beheaded, and that you weren’t to talk nonsense.
",
39,17957,"
",
40,51790,"their eyes and mouths so VERY wide, but she gained courage as she went
",
41,73646,"First it marked out a race-course, in a sort of circle, [‘the exact
",
42,90080,"CHAPTER III. A Caucus-Race and a Long Tale
",
43,33793,"wood--(she considered him to be a footman because he was in livery:
",
44,82421,"can’t think! And oh, I wish you could see her after the birds! Why,
",
45,10914,"As soon as the jury had a little recovered from the shock of being
",
46,34086,"
",
47,34757,"real Mary Ann, and be turned out of the house before she had found the
",
48,11059,"
",
49,34722,"again, sitting on a branch of a tree.
",
50,53269,"This question the Dodo could not answer without a great deal of thought,
",
51,56580,"
",
52,89123,"‘for I can’t understand it myself to begin with; and being so many
",
53,50176,"
",
54,48656,"‘That WAS a narrow escape!’ said Alice, a good deal frightened at the
",
55,64769,"anxiously over his shoulder as he spoke, and then raised himself upon
",
56,11161,"with such a puzzled expression that she could not help bursting out
",
57,49234,"sure I don’t want to stay in here any longer!’
",
58,50931,"‘We indeed!’ cried the Mouse, who was trembling down to the end of his
",
59,34473,"
",
60,16858,"Alice said nothing: she had never been so much contradicted in her life
",
61,11470,"thought: still it had VERY long claws and a great many teeth, so she
",
62,71632,"
",
63,73315,"‘The first thing I’ve got to do,’ said Alice to herself, as she wandered
",
64,93531,"take me for a dunce? Go on!’
",
65,41334," Would not, could not, would not, could not, could not join the dance.
",
66,20640,"myself about you: you must manage the best way you can;--but I must be
",
67,28217,"And with that she began nursing her child again, singing a sort of
",
68,33944,"
",
69,88952,"themselves flat upon their faces. There was a sound of many footsteps,
",
70,68352,"very little! Besides, SHE’S she, and I’m I, and--oh dear, how puzzling
",
71,84318,"time.) ‘You’re nothing but a pack of cards!’
",
72,30771,"
",
73,82643,"
",
74,68787,"
",
75,67501,"themselves.”’
",
76,69482,"‘Then it ought to be Number One,’ said Alice.
",
77,47740,"a deal too flustered to tell you--all I know is, something comes at me
",
78,49342,"
",
79,97362,"
",
80,18108,"‘ARE you to get in at all?’ said the Footman. ‘That’s the first
",
81,44776,"King put on his spectacles and looked anxiously round, to make out who
",
82,11062,"
",
83,99106,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
",
84,93928,"
",
85,56334,"and was just going to leave the room, when her eye fell upon a little
",
86,76797,"drawing of a muchness?’
",
87,62806,"
",
88,91893,"mice in the air, I’m afraid, but you might catch a bat, and that’s very
",
89,36669,"‘A fine day, your Majesty!’ the Duchess began in a low, weak voice.
",
90,27485,"
",
91,85272,"the Lizard in head downwards, and the poor little thing was waving its
",
92,68219,"as she spoke. (The unfortunate little Bill had left off writing on his
",
93,68458,"‘Which is just the case with MINE,’ said the Hatter.
",
94,96266,"
",
