id,person_id,original,japanese
0,28508,‘I deny it!’ said the March Hare.,「否定する！」と三月ウサギは言った。
1,63713,,
2,86208,"way, and the whole party swam to the shore.","道を進み、一行は岸まで泳いだ。"
3,35267,"lessons in here? Why, there’s hardly room for YOU, and no room at all","「ここに授業を？だって、あなたでさえほとんど場所がないのに、全く場所がないじゃない」"
4,33856,,
5,82799,,
6,66493,would be offended again.,また怒らせてしまうだろう。
7,46263,"‘So he did, so he did,’ said the Gryphon, sighing in his turn; and both","「そうだった、そうだった」とグリフォンは順番にため息をついて言った。そして両方"
8,54263,very glad that it was over at last: ‘and I do so like that curious song,とうとう終わってとても嬉しかった。「そして、あの奇妙な歌がとても好きだわ"
9,62764,come to the end: then stop.’,終わりにきたら、そこでやめなさい。」
10,54206,,
11,63126,"down on one knee. ‘I’m a poor man, your Majesty,’ he began.","片膝をついた。「私は貧しい男です、陛下」と彼は始めた。"
12,34615,,
13,10007,CHAPTER IV. The Rabbit Sends in a Little Bill,第4章 ウサギが小さなビルを送り込む
14,96520,"YOU.--Come,","おまえ。——さあ、"
15,33355,"were nowhere to be found: all she could see, when she looked down, was","どこにも見当たらなかった。下を見ると、彼女に見えたのは"
16,41899,"‘Anything you like,’ said the Footman, and began whistling.","「お好きなものを」と従卒は言って、口笛を吹き始めた。"
17,84695,and crept a little way out of the wood to listen.,そして森から少し出て聞き耳を立てた。
18,36487,,
19,96956,,
20,13759,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of","「そんなに欲しくはなかったでしょう」とアリスは言った。「"
21,74158,"‘I speak severely to my boy,",「私は息子に厳しく話す」
22,21408,"picking the daisies, when suddenly a White Rabbit with pink eyes ran","デイジーを摘んでいると、突然ピンクの目をした白ウサギが走ってきた。"
23,57234,"‘Cheshire Puss,’ she began, rather timidly, as she did not at all know","「チェシャ猫さん」と彼女は、全く知らなかったので、少しおずおずと始めた。"
24,61749,snappishly. ‘You’re enough to try the patience of an oyster!’,つっけんどんに。「カキの我慢も限界だ！」
25,98581,‘How doth the little crocodile,「小さなワニはいかにして"
26,17543,know.’,知ってる。
27,22036,First came ten soldiers carrying clubs; these were all shaped like,最初に棍棒を持った10人の兵士が来た。彼らは皆、
28,18970,‘How doth the little crocodile,「小さなワニはいかにして"
29,76489,"began picking them up again as quickly as she could, for the accident of","彼女はできるだけ早くそれらを拾い始めた。なぜなら、"
30,95548,,
31,56181,"‘Not a bit,’ said the Caterpillar.",「少しも」と芋虫は言った。
32,23260,The Mock Turtle went on.,代用ウミガメは続けた。
33,85594,"‘Then you should say what you mean,’ the March Hare went on.","「それなら、言いたいことを言うべきだ」と三月ウサギは続けた。"
34,69003,"‘I’VE been to a day-school, too,’ said Alice; ‘you needn’t be so proud","「私も昼間学校に通っていたわ」とアリスは言った。「そんなに自慢する必要はないわ"
35,78804,"for apples, yer honour!’",「リンゴのために、旦那様！」"
36,51605,"dear, certainly: but now run in to your tea; it’s getting late.’ So","ええ、確かに。でも、もうお茶の時間よ。遅くなるわ」そこで"
37,54518,,
38,73127,"beheaded, and that you weren’t to talk nonsense.","斬首され、くだらないことを話してはいけないと。"
39,17957,,
40,51790,"their eyes and mouths so VERY wide, but she gained courage as she went","彼らの目と口がとても大きく開いていたが、彼女は進むにつれて勇気を得た。"
41,73646,"First it marked out a race-course, in a sort of circle, [‘the exact","まず、それは一種の円形のレースコースを描いた。「正確な"
42,90080,CHAPTER III. A Caucus-Race and a Long Tale,第3章 コーカス・レースと長いお話
43,33793,wood--(she considered him to be a footman because he was in livery:,森へ…（彼女は彼が制服を着ていたので従卒だと考えた）。
44,82421,"can’t think! And oh, I wish you could see her after the birds! Why,","考えられない！ああ、鳥を追いかける彼女を見てほしい！だって"
45,10914,As soon as the jury had a little recovered from the shock of being,陪審員たちがショックから少し立ち直るとすぐに
46,34086,,
47,34757,"real Mary Ann, and be turned out of the house before she had found the","本当のメアリー・アンで、"
48,11059,,
49,34722,"again, sitting on a branch of a tree.",再び、木の枝に座っていた。
50,53269,"This question the Dodo could not answer without a great deal of thought,","この質問にドードーは、よく考えずには答えられなかった。"
51,56580,,
52,89123,‘for I can’t understand it myself to begin with; and being so many,「だって、そもそも自分でも理解できないし、それにたくさんいるから"
53,50176,,
54,48656,"‘That WAS a narrow escape!’ said Alice, a good deal frightened at the","「危ないところだったわ！」とアリスは、"
55,64769,"anxiously over his shoulder as he spoke, and then raised himself upon","話しながら不安そうに肩越しに振り返り、そして"
56,11161,with such a puzzled expression that she could not help bursting out,あまりに困惑した表情だったので、彼女は思わず吹き出してしまった。
57,49234,sure I don’t want to stay in here any longer!’,もうここにはいたくないわ！
58,50931,"‘We indeed!’ cried the Mouse, who was trembling down to the end of his","「我々だって！」とネズミは叫んだ。彼は尻尾の先まで震えていた。"
59,34473,,
60,16858,Alice said nothing: she had never been so much contradicted in her life,アリスは何も言わなかった。彼女は人生でこれほど反論されたことはなかった。
61,11470,"thought: still it had VERY long claws and a great many teeth, so she","と思った。しかし、それは非常に長い爪とたくさんの歯を持っていたので、彼女は"
62,71632,,
63,73315,"‘The first thing I’ve got to do,’ said Alice to herself, as she wandered","「最初にやるべきことは」とアリスは、さまよいながら独り言を言った。"
64,93531,take me for a dunce? Go on!’,私を馬鹿だと思っているのか？続けろ！
65,41334,"Would not, could not, would not, could not, could not join the dance.","踊りには加わらない、加われない、加わらない、加われない、加われない。"
66,20640,myself about you: you must manage the best way you can;--but I must be,あなたのことを自分で。あなたは自分で何とかしなければならない。でも私は
67,28217,"And with that she began nursing her child again, singing a sort of","そしてそれで、彼女は再び子供をあやし始め、一種の"
68,33944,,
69,88952,"themselves flat upon their faces. There was a sound of many footsteps,","うつ伏せになった。たくさんの足音がした。"
70,68352,"very little! Besides, SHE’S she, and I’m I, and--oh dear, how puzzling","とても小さい！それに、彼女は彼女で、私は私、そして…ああ、なんてややこしいの"
71,84318,time.) ‘You’re nothing but a pack of cards!’,時）。「あなたたちなんて、ただのトランプの束よ！」
72,30771,,
73,82643,,
74,68787,,
75,67501,themselves.”’,彼ら自身を。」
76,69482,"‘Then it ought to be Number One,’ said Alice.","「それなら一番になるべきだわ」とアリスは言った。"
77,47740,"a deal too flustered to tell you--all I know is, something comes at me","あなたに言うにはあまりに動揺している…私が知っているのは、何かが私に"
78,49342,,
79,97362,,
80,18108,‘ARE you to get in at all?’ said the Footman. ‘That’s the first,,「そもそも入るおつもりですか？」と従卒は言った。「それが最初の"
81,44776,"King put on his spectacles and looked anxiously round, to make out who","王は眼鏡をかけ、不安そうに周りを見回し、誰が"
82,11062,,
83,99106,‘You are not attending!’ said the Mouse to Alice severely. ‘What are you,「聞いていない！」とネズミはアリスに厳しく言った。「何を"
84,93928,,
85,56334,"and was just going to leave the room, when her eye fell upon a little","そして部屋を出ようとしたちょうどその時、彼女の目に小さな"
86,76797,drawing of a muchness?’,同じような絵？
87,62806,,
88,91893,"mice in the air, I’m afraid, but you might catch a bat, and that’s very","空中のネズミは無理だろうけど、コウモリなら捕まえられるかもしれない。それはとても"
89,36669,"‘A fine day, your Majesty!’ the Duchess began in a low, weak voice.","「素晴らしい日でございます、陛下！」と公爵夫人は低く弱々しい声で始めた。"
90,27485,,
91,85272,"the Lizard in head downwards, and the poor little thing was waving its","トカゲを逆さまにして、その可哀想な小さな生き物は"
92,68219,as she spoke. (The unfortunate little Bill had left off writing on his,彼女が話すとき。（不運な小さなビルは、"
93,68458,"‘Which is just the case with MINE,’ said the Hatter.","「それはちょうど私のものと同じだ」と帽子屋は言った。"
94,96266,,
95,78795,"came upon a neat little house, on the door of which was a bright brass","きれいな小さな家に出くわした。そのドアには輝く真鍮の"
96,35311,"Why, I do it again and again.’",なぜって、何度も何度もやるからさ。
97,52297,"YOU.--Come,","おまえ。——さあ、"
98,60886,"then, when you’ve cleared all the jelly-fish out of the way--’","それから、クラゲを全部どかしたら…」"
99,41914,"it trot away quietly into the wood. ‘If it had grown up,’ she said","それが静かに森の中へ小走りで去っていく。「もし大きくなっていたら」と彼女は言った。"
100,22369,thinking of?’,考えているの？
101,25814,"‘To begin with,’ said the Cat, ‘a dog’s not mad. You grant that?’","「まず第一に」と猫は言った。「犬は狂っていない。それは認めるね？」"
